img_path,title,author,era,style,h1,s1,v1,h2,s2,v2,h3,s3,v3,product_id
"Bosnie-Herzegovine;_L’exposition_Universelle,_Paris_(1900)_.jpg","Bosnie-Herzegovine; L’exposition Universelle, Paris (1900) ",Alphonse Mucha,"Czech, 1860-1939",Posters,43,39,48,40,29,83,39,35,66,3
Lefevre-Utile_Sarah_Bernhardt_(1903)_.jpg,Lefevre-Utile Sarah Bernhardt (1903) ,Alphonse Mucha,"Czech, 1860-1939",Posters,38,60,61,42,48,79,11,78,48,4
Pater_Noster_(c.1900)_.jpg,Pater Noster (c.1900) ,Alphonse Mucha,"Czech, 1860-1939",Posters,33,24,94,33,45,54,31,36,78,5
Job_(1896)_.jpg,Job (1896) ,Alphonse Mucha,"Czech, 1860-1939",Posters,34,37,62,30,64,19,40,27,86,6
Zdeňka_Černý_The_greatest_Bohemian_violoncellist.jpg,Zdeňka Černý The greatest Bohemian violoncellist,Alphonse Mucha,"Czech, 1860-1939",Posters,23,37,55,27,23,88,33,40,83,7
Untitled_(1902)_.jpg,Untitled (1902) ,Alphonse Mucha,"Czech, 1860-1939",Posters,62,48,24,51,24,74,65,23,43,8
Biscuits_Lefèvre-Utile_(1896)_.jpg,Biscuits Lefèvre-Utile (1896) ,Alphonse Mucha,"Czech, 1860-1939",Posters,33,37,71,24,50,48,34,25,88,9
Poster_for_The_Sokol_Festival_in_Prague_(1926)_.jpg,Poster for The Sokol Festival in Prague (1926) ,Alphonse Mucha,"Czech, 1860-1939",Posters,35,19,89,185,17,41,28,21,70,10
Primrose_(1899)_.jpg,Primrose (1899) ,Alphonse Mucha,"Czech, 1860-1939",Illustration,42,24,74,53,37,38,48,33,60,11
Reverie_du_soir_(1899)_.jpg,Reverie du soir (1899) ,Alphonse Mucha,"Czech, 1860-1939",Illustration,39,42,82,40,50,62,37,26,92,12
Soleil_du_Dimanche.jpg,Soleil du Dimanche,Alphonse Mucha,"Czech, 1860-1939",Posters,37,51,63,35,71,29,38,42,84,13
Les_Saisons_4_(1896)_.jpg,Les Saisons 4 (1896) ,Alphonse Mucha,"Czech, 1860-1939",Illustration,33,26,84,25,61,54,29,43,73,14
Whitman’s_chocolates_and_confections._Philadelphia_(1895_-_1917)_.jpg,Whitman’s chocolates and confections. Philadelphia (1895 - 1917) ,Alphonse Mucha,"Czech, 1860-1939",Posters,33,34,30,41,14,81,40,30,58,15
Incantation_(Salammbo)_(1897)_.jpg,Incantation (Salammbo) (1897) ,Alphonse Mucha,"Czech, 1860-1939",Illustration,25,31,77,34,19,91,22,39,58,16
Salomé_(ca._1897)_.jpg,Salomé (ca. 1897) ,Alphonse Mucha,"Czech, 1860-1939",Illustration,26,38,74,16,39,38,28,26,87,17
Les_Saisons_1_(1896)_.jpg,Les Saisons 1 (1896) ,Alphonse Mucha,"Czech, 1860-1939",Illustration,28,48,62,33,20,87,33,29,77,18
Les_Saisons_2_(1896)_.jpg,Les Saisons 2 (1896) ,Alphonse Mucha,"Czech, 1860-1939",Illustration,36,40,81,40,23,87,32,52,65,19
Elfe_mit_Irisblüten_(Ca._1885-1890)_.jpg,Elfe mit Irisblüten (Ca. 1885-1890) ,Alphonse Mucha,"Czech, 1860-1939",Illustration,68,12,26,40,34,66,51,19,40,20
De_Forest_Phonofilm_(1927)_.jpg,De Forest Phonofilm (1927) ,Alphonse Mucha,"Czech, 1860-1939",Illustration,45,12,94,45,32,56,45,34,83,21
From_The_Frontispiece_Of_Le_Pater.jpg,From The Frontispiece Of Le Pater,Alphonse Mucha,"Czech, 1860-1939",Figurative,52,10,75,41,22,40,56,5,89,22
Svantovit_Celebration_On_The_Island_Of_Rügen_(1912)_.jpg,Svantovit Celebration On The Island Of Rügen (1912) ,Alphonse Mucha,"Czech, 1860-1939",Mythology,35,13,25,55,8,71,51,7,48,23
Zodiaque_(La_Plume)_(1896–1897)_.jpg,Zodiaque (La Plume) (1896–1897) ,Alphonse Mucha,"Czech, 1860-1939",Posters,36,31,85,29,71,40,35,52,67,24
Cycles_Perfecta_(1897)_.jpg,Cycles Perfecta (1897) ,Alphonse Mucha,"Czech, 1860-1939",Posters,34,62,50,39,21,95,35,56,86,25
Flirt_(circa_1895-1900)_.jpg,Flirt (circa 1895-1900) ,Alphonse Mucha,"Czech, 1860-1939",Posters,37,15,95,21,59,41,27,42,77,26
Gismonda_(1894-1895)_.jpg,Gismonda (1894-1895) ,Alphonse Mucha,"Czech, 1860-1939",Posters,40,19,89,38,34,68,48,20,35,27
Hamlet_(1899)_.jpg,Hamlet (1899) ,Alphonse Mucha,"Czech, 1860-1939",Posters,17,45,37,34,27,90,18,38,64,28
"Ilsee,_Princesse_de_Tripoli_(1897)_.jpg","Ilsee, Princesse de Tripoli (1897) ",Alphonse Mucha,"Czech, 1860-1939",Posters,43,11,86,44,31,39,46,18,66,29
Job_(circa_1897-1898)_.jpg,Job (circa 1897-1898) ,Alphonse Mucha,"Czech, 1860-1939",Posters,33,38,95,22,61,46,30,50,79,30
La_Samaritaine_(1897)_.jpg,La Samaritaine (1897) ,Alphonse Mucha,"Czech, 1860-1939",Posters,32,55,31,35,19,91,35,27,67,31
Lorenzaccio_(1896-1900)_.jpg,Lorenzaccio (1896-1900) ,Alphonse Mucha,"Czech, 1860-1939",Posters,34,39,28,37,22,81,39,27,48,32
Pieta_(1876)_.jpg,Pieta (1876) ,William-Adolphe Bouguereau,"French, 1825-1905",Religion,35,23,10,36,28,63,34,35,34,33
Virgin_and_Child_(1888)_.jpg,Virgin and Child (1888) ,William-Adolphe Bouguereau,"French, 1825-1905",Religion,26,54,11,30,42,77,28,65,54,34
Premières_caresse_(1901)_.jpg,Premières caresse (1901) ,William-Adolphe Bouguereau,"French, 1825-1905",Figurative,336,13,12,28,19,80,26,42,38,35
The_First_Mourning_(1888)_.jpg,The First Mourning (1888) ,William-Adolphe Bouguereau,"French, 1825-1905",Religion,28,47,26,29,30,48,29,29,75,36
Love_And_Psyché_(1899)_.jpg,Love And Psyché (1899) ,William-Adolphe Bouguereau,"French, 1825-1905",Mythology,92,2,77,15,30,33,34,10,60,37
Ora_Pro_Nobis_(1903)_.jpg,Ora Pro Nobis (1903) ,William-Adolphe Bouguereau,"French, 1825-1905",Religion,38,38,52,28,79,35,37,29,74,38
Alma_Parens_(1883)_.jpg,Alma Parens (1883) ,William-Adolphe Bouguereau,"French, 1825-1905",Mythology,33,26,75,17,41,22,30,38,50,39
Sainte_Famille_(The_Holy_Family)_(1863)_.jpg,Sainte Famille (The Holy Family) (1863) ,William-Adolphe Bouguereau,"French, 1825-1905",Religion,34,45,60,84,5,78,34,59,23,40
